[decompyle3] D:\sml8\companies\__pycache__\admin.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\__pycache__\admin.cpython-312.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\__pycache__\apps.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\__pycache__\apps.cpython-312.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\__pycache__\context_processors.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\__pycache__\forms.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\__pycache__\models.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\__pycache__\models.cpython-312.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\__pycache__\urls.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\__pycache__\urls.cpython-312.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\__pycache__\views.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\__pycache__\views.cpython-312.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\__pycache__\__init__.cpython-312.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\management\commands\__pycache__\validate_schema.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\migrations\__pycache__\0001_initial.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\migrations\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\templatetags\__pycache__\custom_tags.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\templatetags\__pycache__\custom_tags.cpython-312.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\templatetags\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\companies\templatetags\__pycache__\__init__.cpython-312.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\companies\__pycache__\admin.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\companies\__pycache__\apps.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\companies\__pycache__\context_processors.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\companies\__pycache__\forms.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\companies\__pycache__\models.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\companies\__pycache__\urls.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\companies\__pycache__\views.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\companies\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\companies\management\commands\__pycache__\validate_schema.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\companies\migrations\__pycache__\0001_initial.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\companies\migrations\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\companies\templatetags\__pycache__\custom_tags.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\companies\templatetags\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\spoorthi_macs\__pycache__\settings.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\spoorthi_macs\__pycache__\urls.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\spoorthi_macs\__pycache__\wsgi.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\spoorthi_macs\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\__pycache__\py.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\__pycache__\typing_extensions.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\asgiref\__pycache__\compatibility.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\asgiref\__pycache__\current_thread_executor.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\asgiref\__pycache__\local.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\asgiref\__pycache__\server.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\asgiref\__pycache__\sync.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\asgiref\__pycache__\testing.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\asgiref\__pycache__\timeout.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\asgiref\__pycache__\typing.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\asgiref\__pycache__\wsgi.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\asgiref\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\colorama\__pycache__\ansi.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\colorama\__pycache__\ansitowin32.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\colorama\__pycache__\initialise.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\colorama\__pycache__\win32.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
